ID	MOFA.MESOMICS.Cell division	MOFA.MESOMICS.Tumor-immune-interaction	MOFA.MESOMICS.Acinar
MESO_114_T	0.494856773015342	0.441796480029733	0.0633467469549255
MESO_115_T	0.241121711914607	0.196982923551787	0.561895364533606
MESO_116_T	0.195530365265925	0.319461615005949	0.485008019728126
MESO_117_T	0.465122340029556	0.357937855628757	0.176939804341687
MESO_118_T	0.576600232082773	0	0.423399767917227
MESO_119_T	0.188600599828088	0.265569667474277	0.545829732697634
MESO_120_T	0.25599979335645	0.383199979340706	0.360800227302844
MESO_121_T	0.311833543283936	0.16647577199304	0.521690684723024
MESO_122_T	0.237305128195628	0.48417715718595	0.278517714618422
MESO_123_T	0.336486174581978	0.0833325623634875	0.580181263054534
MESO_124_T	0.252804965067379	0.421706590958233	0.325488443974388
