"Sample","sc-enriched","Ca A1","Ca B","Ca A2"
"LNEN107_TU2",0.502802236178775,0.339864486830512,0.128813381093832,0.0285198958968816
"LNEN108_TU1",0.201527561080992,0.744703650124693,0.0222676620961246,0.0315011266981901
"LNEN109_TU",0.139401930205216,0.72776607416567,0.034963664912933,0.0978683307161812
"LNEN110_TU",0.227519720914339,0.274089361707861,0.4983909173778,0
"LNEN111_TU2",0.314091131320686,0.0573680180097527,0.617528902723851,0.0110119479457094
"LNEN112_TU1",0.0942728867611529,0.0864945935842078,0.0215239886909208,0.797708530963718
"LNEN113_TU2",0.201238445330399,0.430531043426824,0.0109388332400708,0.357291678002706
"LNEN114_TU2",0.231965681240004,0.0586759207041326,0,0.709358398055864
"LNEN115_TU1",0.115518986686617,0,0.0151677346941129,0.86931327861927
"LNEN116_TU1",0.128659687237597,0,0.871340312762403,0
"LNEN117_TU1",0.0883840563257414,0.639557938503472,0.0300154784802273,0.242042526690559
"LNEN118_TU2",0.0718505875593434,0.0729988400227669,0.0663855256576397,0.78876504676025
"LNEN119_TU3",0,0.106957751509143,0.779354633493616,0.113687614997241
"LNEN121_TU",0.165136728833433,0,0.0167690218230793,0.818094249343488
"LNEN122_TU",0.186939790707871,0.04270382794612,0.59965268639721,0.170703694948799
"LNEN123_TU",0.261959465096608,0.587490758991324,0,0.150549775912068
"LNEN125_TU",0.0591319929368957,0.03852320745402,0.797195913397378,0.105148886211707
"LNEN126_TU",0,0.0819923735522007,0.918007626447799,0
"LNEN127_TU",0,0.0167810570604154,0,0.983218942939585
"LNEN128_TU",0.0967769899793357,0.0584025079190444,0.0215016379696513,0.823318864131969
"LNEN129_TU",0.138999343222307,0.0458782955887086,0,0.815122361188984
"LNEN130_TU",0,0.0968551852381982,0.900229886554999,0.00291492820680297
"LNEN131_TU",0.103979672316656,0.0888029729965124,0.766106172045976,0.0411111826408563
"LNEN132_TU",0.112093025523415,0.0501429115421851,0.757004939197812,0.0807591237365873
"LNEN133_TU",0.15035466925579,0,0.84964533074421,0
"LNEN134_TU",0.338901414590713,0.452960410934129,0.151921965722154,0.0562162087530046
"LNEN135_TU",0.107050747642521,0.801788169990691,0.0466613659985133,0.0444997163682749
"LNEN136_TU",0,0.872287384979148,0.00494380281499796,0.122768812205853
"LNEN137_TU",0.133190552354477,0.0605048120345459,0.0369793574772118,0.769325278133765
"LNEN139_TU",0.0995740566217236,0.791399655832392,0.0883835232240864,0.0206427643217975
"LNEN140_TU",0.123423887871782,0.844243251374883,0.0200794783552438,0.0122533823980904
"LNEN142_TU",0.0458233824944347,0.0470846309355334,0.900083663646931,0.0070083229231013
"LNEN143_TU",0.0372676199614447,0.822775984101757,0.0540827410601692,0.0858736548766294
"LNEN145_TU",0.0695418117303974,0.0308972156878615,0.0716055943962022,0.827955378185539
"LNEN146_TU",0.192925544867022,0.717642010775684,0.0691914915166441,0.0202409528406498
"LNEN147_TU",0.143710496427299,0.794755144734174,0.0615343588385276,0
"LNEN148_TU",0.0463992744100744,0.833365507709706,0.0716557444871311,0.0485794733930883
"LNEN151_TU3",0.228068279331447,0.00735592237166566,0.052430855722487,0.7121449425744
"LNEN152_TU",0.281075693014846,0.0378204438433169,0.028601764509345,0.652502098632492
"LNEN153_TU6",0.116915439939599,0.0569974177647818,0.770443546276984,0.0556435960186346
"LNEN154_TU3",0.217174218903714,0.0509964705456186,0.00782790951603704,0.72400140103463
"LNEN155_TU7",0.0816301275412423,0.0109524219821752,0.0249428386296827,0.8824746118469
"LNEN156_TU",0.299327774993107,0.596733959017314,0.00737947658601529,0.0965587894035634
"LNEN157_TU2",0.10620575038925,0.726542158360683,0,0.167252091250066
"LNEN158_TU",0,0.09473555898015,0.90526444101985,0
"LNEN159_TU2",0,0.0736241464672719,0.926375853532728,0
"LNEN161_TU",0.0974529178555807,0.120303671050392,0.0614737194931008,0.720769691600927
"LNEN162_TU",0.190595383157648,0.678845320734928,0.0174444970748478,0.113114799032575
"LNEN163_TU",0.200936706975855,0.0751485183781196,0.0346404003696089,0.689274374276416
"LNEN164_TU2",0.0163481977504494,0.0852142676358757,0.898437534613675,0
"LNEN165_TU2",0.0642595559285195,0.075566518709967,0.00918038742677513,0.850993537934738
"LNEN166_TU2",0.177771280841757,0.0583285538823195,0,0.763900165275923
"LNEN167_TU2",0.305203818761132,0.0587774496116474,0.63601873162722,0
"LNEN168_TU1",0.0648696670818887,0.0030373674174822,0.0576617985842312,0.874431166916398
"LNEN169_TU1",0.00144508335456872,0.998554916645431,0,0
"LNEN170_TU4",0.128136286201072,0.332122760400936,0.503043474219259,0.0366974791787325
"LNEN171_TU1_R1",0,0.867656782301714,0.0516044891978703,0.0807387285004156
"LNEN172_TU",0.0273182171075492,0.0520017541380569,0.125739904851266,0.794940123903128
"LNEN173_TU",0,0,0.0100453629782111,0.989954637021789
"LNEN174_TU",0.0288331439740971,0.0433382539891251,0.897979169684022,0.0298494323527561
"LNEN175_TU",0.172957728308189,0.582385540288425,0.0568249993617783,0.187831732041608
"LNEN176_TU",0.236813265291743,0.653493652518417,0.0438509855786539,0.0658420966111858
"LNEN177_TU",0.0426589934227315,0.0122750398108358,0.139903974526841,0.805161992239591
"LNEN178_TU",0.156084099707514,0.82573298071027,0,0.0181829195822162
"LNEN179_TU",0.384235829754957,0.577203372521504,0.0385607977235393,0
"LNEN180_TU",0.897980240600429,0.0127673706139124,0.0494609789870568,0.0397914097986016
"LNEN181_TU",0,0.841995679455072,0.0698893518759655,0.0881149686689627
"LNEN182_TU",0.256399538375496,0.643302358391592,0.080888074916954,0.0194100283159569
"LNEN183_TU",0,0.033026279074019,0.961558652661119,0.0054150682648624
"LNEN184_TU",0.234973191221968,0.0110086371675997,0.0032718026868214,0.750746368923611
"LNEN185_TU",0.35198347273281,0.0102350517769714,0.637781475490219,0
"LNEN187_TU",0.227486855674186,0,0,0.772513144325814
"LNEN188_TU",0.272722729707578,0.0661522497566947,0.490312092581963,0.170812927953763
"LNEN190_TU",0.134514267101826,0.816508738898293,0.0447659580100422,0.00421103598983813
"LNEN191_TU",0.086722042873346,0.0765769904431867,0.0337582665547662,0.802942700128701
"LNEN192_TU",0.114087487053619,0.779985596397465,0.0544545986610012,0.0514723178879148
"LNEN193_TU",0.159304641345887,0.726673302895056,0.0410655657939582,0.0729564899650989
"LNEN194_TU",0.126687944207363,0.0675206680475004,0.794504387291866,0.0112870004532711
"LNEN195_TU",0.307237907932719,0.692762092067281,0,0
"LNEN196_TU",0.140843876776552,0.811229935673144,0.0384458898322037,0.00948029771810011
"LNEN197_TU",0.175433169149307,0.793559500966922,0.0288842330417421,0.00212309684202869
