"Sample","Factor1","Factor2","Factor5"
"LNEN110_TU",1.05032508405149,-1.11617426606531,-0.381246608693083
"LNEN111_TU2",2.09054055297667,-0.86406643065582,-0.953441170622427
"LNEN112_TU1",-0.162448414324767,1.82859479860064,0.290082953681876
"LNEN113_TU2",-1.1500050100408,0.178475184582352,-0.21051448117557
"LNEN114_TU2",-0.232345134631887,1.63078652974308,-0.569690364989233
"LNEN115_TU1",0.102162610773293,2.1636801139375,0.108453796510176
"LNEN116_TU1",3.31971446458525,-0.872730921588657,0.046736169495326
"LNEN117_TU1",-1.68060057787592,-0.343384564834198,0.537665343976913
"LNEN118_TU2",0.0338774368773858,1.79511554620464,0.422123299185374
"LNEN119_TU3",2.50390731828225,-0.603215600336785,1.1828498852861
"LNEN121_TU",0.119772070843514,2.00447141781261,-0.187140097678893
"LNEN122_TU",2.05131214251865,-0.335769708379374,-0.210617855375937
"LNEN123_TU",-1.65425522481124,-0.568542153691966,-0.522868060148193
"LNEN125_TU",2.7575331272426,-0.605766876819633,0.563554199827058
"LNEN126_TU",3.09350548967332,-1.03813964279451,1.6169133678123
"LNEN127_TU",-0.0520943299788547,2.51163749939027,1.17953101173369
"LNEN128_TU",-0.0835879775395663,1.93040076274652,0.264539061178056
"LNEN129_TU",-0.246154994986124,2.00481824839642,-0.0407491641314371
"LNEN130_TU",2.97026663971676,-0.983892627780292,1.27718406249102
"LNEN131_TU",2.5106077293544,-0.836516194412515,0.314762970789178
"LNEN132_TU",2.58709398247296,-0.679410139213232,0.251078152316256
"LNEN133_TU",3.16838874369742,-0.862422812935051,-0.0395762706729535
"LNEN134_TU",-0.688368647306372,-0.847890057554261,-0.998991763357319
"LNEN135_TU",-2.07244262955183,-1.0958308562686,0.491473819615716
"LNEN136_TU",-2.43275882432965,-0.879806861956456,1.15884158762531
"LNEN137_TU",-0.0292244632577662,1.75078439055003,0.0521339614087882
"LNEN139_TU",-1.89422890853307,-1.17833793118042,0.536160760343925
"LNEN140_TU",-2.28482909857005,-1.22053553791101,0.408219039367486
"LNEN142_TU",3.1019913755082,-0.959235956078376,0.656579612478785
"LNEN143_TU",-2.11325460946622,-0.98009081888414,0.912151160613618
"LNEN145_TU",0.170201604873186,1.94862089936818,0.420185950579551
"LNEN146_TU",-1.74510006414911,-1.1220203927213,-0.0451065124235511
"LNEN147_TU",-1.98997941996896,-1.32182570400233,0.266953148627562
"LNEN148_TU",-2.07853553062495,-1.11271813653376,0.864231293719151
"LNEN151_TU3",0.187029123234848,1.59954980829362,-0.526471811877169
"LNEN152_TU",0.0227059375684871,1.3944448354569,-0.830219533061735
"LNEN153_TU6",2.61685406095085,-0.769041856711044,0.226708157562345
"LNEN154_TU3",-0.0969226684988507,1.62123457671391,-0.450316348401607
"LNEN155_TU7",0.0596947572636486,2.15226741873831,0.336123213465457
"LNEN156_TU",-1.61566994904033,-0.773098527095992,-0.726099831658308
"LNEN157_TU2",-2.17420306316525,-0.536689788628775,0.40623328698067
"LNEN158_TU",2.98573566240089,-1.06835087551446,0.972580181380335
"LNEN159_TU2",3.13140062193971,-1.16639391191104,1.06715974008773
"LNEN161_TU",-0.112975389437216,1.54545331649902,0.288620011926838
"LNEN162_TU",-1.82294195076463,-0.780528116236909,-0.0518547471613283
"LNEN163_TU",-0.0701149024929531,1.48444260421714,-0.342316550684006
"LNEN164_TU2",2.9918991827773,-1.11936986047448,0.835469765935722
"LNEN165_TU2",-0.180032236556142,2.01111048222804,0.461676562877335
"LNEN166_TU2",-0.236887503968863,1.80515658223172,-0.249489258645288
"LNEN167_TU2",2.15244716187415,-0.914428241967793,-0.899135425961879
"LNEN168_TU1",0.197434601746922,2.12162387825769,0.435565976777822
"LNEN169_TU1",-3.02379240508384,-1.41131454085607,1.07731032168663
"LNEN170_TU4",0.886370224878555,-0.937328782406009,0.236783093166465
"LNEN171_TU1_R1",-2.23118649954639,-0.988430839411149,1.69915592950045
"LNEN172_TU",0.30055304839751,1.81079536183608,0.683351140939156
"LNEN173_TU",0.0754882769087094,2.55980180715,0.822652943200856
"LNEN174_TU",3.102773104755,-0.882663724730421,0.755183570882139
"LNEN175_TU",-1.41352450820932,-0.485878186567443,0.0195645680809379
"LNEN176_TU",-1.65119539789234,-0.922862385843443,-0.331449242318225
"LNEN177_TU",0.464618899803055,1.8668596546583,0.579138177354527
"LNEN178_TU",-2.45113998933786,-1.08050751013285,0.147703568698336
"LNEN179_TU",-1.43095086044921,-1.20815001056178,-1.24225038702444
"LNEN180_TU",0.245340623053482,-0.560614143198441,-4.47823272955815
"LNEN181_TU",-2.1098448497004,-0.982189819811715,1.27113810245593
"LNEN182_TU",-1.48698700452604,-1.07645798694381,-0.446910024164781
"LNEN183_TU",3.35795464610528,-0.971740840288471,0.960440092011494
"LNEN184_TU",0.000845396776936272,1.73642772795295,-0.571175010991077
"LNEN185_TU",2.30232560763795,-0.913154382495789,-1.19634349708315
"LNEN187_TU",0.0902729935374958,2.00888894201216,-0.635468281345789
"LNEN188_TU",1.60315375763179,-0.317163508569006,-0.719791471785854
"LNEN190_TU",-2.11701218894835,-1.23478513946198,0.334830559170633
"LNEN191_TU",-0.0916313468005079,1.8484421226946,0.33217688538087
"LNEN192_TU",-1.98250344658294,-1.06069588820585,0.442441280198052
"LNEN193_TU",-1.87577060570388,-0.950276043936577,0.153706095226775
"LNEN194_TU",2.67517618406048,-0.926338661274209,0.175687385268526
"LNEN195_TU",-2.00587739023369,-1.20637988591278,-0.787937845620421
"LNEN196_TU",-2.12417605868857,-1.21218825988329,0.294765352026605
"LNEN197_TU",-2.10476802564098,-1.22042117689684,0.0828237475947553
"LNEN198_TU",-1.19428574871296,-1.08697987525195,0.570607594780157
"LNEN199_TU",-0.184493486438162,2.10644930133926,0.161471041287187
"LNEN201_TU",0.0783225591859586,-1.1459579538244,0.172453852702147
"LNEN202_TU",0.00884691931416189,1.8380440206268,-0.0632995859158823
"LNEN203_TU",0.22086056421163,1.196807608033,-0.177176746400751
"LNEN204_TU",0.118821710194623,1.70045994702329,0.210449554848837
"LNEN205_TU",-1.73630510261829,-1.04543161924273,-0.542839422319704
"LNEN206_TU",0.201900134878831,-0.568964624190935,-4.88693669003063
"LNEN207_TU",-1.7925224166522,-0.769764010103623,1.0665542086105
"LNEN208_TU",-2.0781420969611,-1.0982553171013,0.668181325696096
"LNEN209_TU",2.9381958114167,-1.00123143529091,0.122752054504972
"LNEN210_TU",-1.4028518637008,-1.53609428339643,1.27986310265977
"LNEN211_TU",-0.109567558120072,1.59877135621611,-0.479678067774357
"LNEN212_TU",-1.21910000473552,-1.00536848140312,-0.763520812928151
"LNEN213_TU",-0.165225037164608,1.81358824661297,-0.656828930186716
"LNEN214_TU",0.685552526663266,-1.15900983206381,-1.07482465182845
"LNEN215_TU",-1.99318685547053,-1.45184756048499,2.07935277842857
"LNEN216_TU",-1.51473776801705,-1.10319807608451,-0.812846831719211
"LNEN217_TU",-0.0971957089592191,0.0281765996902,-3.48247957092798
"LNEN218_TU",2.22304421488402,-1.02108284765236,-0.868819432308845
"LNEN219_TU",-1.57363293372228,-1.18963457925505,-0.727224646238861
"LNEN220_TU",-1.58379151493694,-1.07202249187656,-0.743274983125531
"LNEN221_TU",-2.30198974104029,-1.09397640268697,1.42678225856461
"LNEN223_TU",-1.89128744276304,-1.02426614696276,-0.0637618130920967
"LNEN224_TU",-0.0489489407663387,1.35753596693405,-0.0831888151303447
"LNEN225_TU",-0.98578977219648,-0.0964075951250142,0.667739415527182
"LNEN226_TU",-0.0730943116529489,2.13257594914234,0.134568269025366
"LNEN227_TU",-0.0999171226809748,1.71349854301769,0.189300431485485
"LNEN228_TU",0.0246814145599538,1.46909548684767,-0.670533047041839
"LNEN229_TU",2.84558489340791,-1.02710777747786,-0.30463571495837
"LNEN230_TU",-0.259037783759843,1.06677749588546,-0.64226419399332
"LNEN231_TU",-1.46280400917297,-1.20935680055654,-0.649524026770569
"LNEN232_TU",-1.71677615262974,-0.480159127820096,0.409581769370723
"LNEN233_TU",-1.77436142805214,-1.15928672350087,0.0644001770955506
"LNEN234_TU",-1.57939979898046,-1.08921619654333,-0.423427514794769
"LNEN235_TU",0.395169983061418,1.72685568738274,-0.296280660938229
"LNEN236_TU",-1.98468608522122,-0.806643164393162,0.194743492309282
"LNEN237_TU",2.64104922095293,-0.810067350928642,-0.24419213545025
"LNEN238_TU",-0.0359059048991086,-0.810067553307734,-0.615755358488179
"LNEN239_TU",3.0449539357308,-0.835844594381568,0.140591335066839
"LNEN240_TU",2.52987667971764,-0.636245727341079,-0.986606136765024
"LNEN241_TU",-0.0119520186481725,1.00954806208124,-1.40969474991945
"LNEN243_TU",0.280077775378096,2.05024376991642,0.141490038073985
