"Sample","Factor1","Factor2","Factor5"
"LNEN167_TU2",2.30607843399048,-0.861259639263153,-0.861810147762299
"LNEN168_TU1",0.0729555115103722,2.15505623817444,0.27165424823761
"LNEN169_TU1",-2.90835666656494,-1.48133337497711,1.26753282546997
"LNEN170_TU4",0.804552972316742,-0.924423813819885,0.183614194393158
"LNEN171_TU1_R1",-2.12350177764893,-0.957397401332855,1.9565532207489
"LNEN172_TU",0.168586418032646,1.86271691322327,0.569841325283051
"LNEN173_TU",-0.0773595348000526,2.5935742855072,0.60496324300766
"LNEN174_TU",3.01010370254517,-0.634894073009491,0.867654919624329
"LNEN175_TU",-1.41440212726593,-0.4054174721241,0.46745029091835
"LNEN176_TU",-1.63177454471588,-0.905084550380707,0.104670532047749
"LNEN177_TU",0.379441827535629,1.96452951431274,0.609315931797028
"LNEN178_TU",-2.4600293636322,-1.42400634288788,-0.296880811452866
"LNEN179_TU",-1.36389827728271,-1.42325949668884,-1.35735511779785
"LNEN180_TU",0.252591043710709,-0.623299539089203,-4.23828935623169
"LNEN181_TU",-2.06372952461243,-0.967348992824554,1.53403091430664
"LNEN182_TU",-1.47741675376892,-1.38136625289917,-0.85764217376709
"LNEN183_TU",3.30755591392517,-0.739372909069061,1.07435810565948
"LNEN184_TU",-0.139318197965622,1.732754945755,-0.673748135566711
"LNEN185_TU",2.49689555168152,-0.872049331665039,-1.14147222042084
"LNEN187_TU",-0.0726506635546684,2.02037405967712,-0.711208045482635
"LNEN188_TU",1.57849717140198,-0.179634317755699,-0.661084055900574
"LNEN190_TU",-2.04615545272827,-1.49943292140961,0.0147029319778085
"LNEN191_TU",-0.206588193774223,1.85693120956421,0.172398149967194
"LNEN192_TU",-1.96024286746979,-1.34626591205597,0.068201020359993
"LNEN193_TU",-1.88906717300415,-1.02082443237305,0.255943804979324
"LNEN194_TU",2.75727438926697,-0.800847828388214,0.214942947030067
"LNEN195_TU",-1.93500065803528,-1.5339971780777,-1.14852595329285
"LNEN196_TU",-2.07235765457153,-1.44707059860229,0.0869202241301537
"LNEN197_TU",-2.08798789978027,-1.52652633190155,-0.268161743879318
"LNEN198_TU",-1.15865159034729,-1.31428229808807,0.217937856912613
"LNEN199_TU",-0.348425835371017,2.13535571098328,0.0981294214725494
"LNEN201_TU",0.0366374142467976,-1.2348917722702,0.052729357033968
"LNEN202_TU",-0.117670476436615,1.83161103725433,-0.217747732996941
"LNEN203_TU",0.166434824466705,1.20779263973236,-0.166451126337051
"LNEN204_TU",-0.0114017697051167,1.75059080123901,0.206819847226143
"LNEN205_TU",-1.72901678085327,-1.12039983272552,-0.340015798807144
"LNEN206_TU",0.223421365022659,-0.680208384990692,-4.71017169952393
"LNEN207_TU",-1.70365178585052,-0.691226005554199,1.45253705978394
"LNEN208_TU",-2.03519558906555,-1.16274547576904,0.804929137229919
"LNEN209_TU",2.99462056159973,-0.846900224685669,0.230581790208817
"LNEN210_TU",-1.26344728469849,-1.76463067531586,0.82075834274292
"LNEN211_TU",-0.246953800320625,1.61054337024689,-0.460895597934723
"LNEN212_TU",-1.19296395778656,-1.10455977916718,-0.670388519763947
"LNEN213_TU",-0.293730080127716,1.80708765983582,-0.729922890663147
"LNEN214_TU",0.715970695018768,-1.18306982517242,-1.03388404846191
"LNEN215_TU",-1.84898555278778,-1.40102434158325,2.30400848388672
"LNEN216_TU",-1.47580027580261,-1.26841652393341,-0.811999917030334
"LNEN217_TU",-0.217057958245277,-0.0506296008825302,-3.25847792625427
"LNEN218_TU",2.44717454910278,-0.979798793792725,-0.842985033988953
"LNEN219_TU",-1.49966299533844,-1.46653211116791,-1.02952826023102
"LNEN220_TU",-1.57887923717499,-1.13214063644409,-0.478580296039581
"LNEN221_TU",-2.25401926040649,-1.35427355766296,1.02297365665436
"LNEN223_TU",-1.8801896572113,-1.35736358165741,-0.520110070705414
"LNEN224_TU",-0.175883769989014,1.32481920719147,-0.199972063302994
"LNEN225_TU",-1.00621581077576,0.0653323084115982,1.1155880689621
"LNEN226_TU",-0.232532978057861,2.1655912399292,0.0622287355363369
"LNEN227_TU",-0.231364607810974,1.7257673740387,0.0961760878562927
"LNEN228_TU",-0.103000774979591,1.45251393318176,-0.743050456047058
"LNEN229_TU",2.78417897224426,-0.810149490833282,-0.0250149331986904
"LNEN230_TU",-0.36648017168045,1.04917442798615,-0.637001097202301
"LNEN231_TU",-1.41341078281403,-1.26885402202606,-0.463582724332809
"LNEN232_TU",-1.73261511325836,-0.320712029933929,1.03601026535034
"LNEN233_TU",-1.72967517375946,-1.40725100040436,-0.200377270579338
"LNEN234_TU",-1.55511748790741,-1.38289523124695,-0.767007887363434
"LNEN235_TU",0.30764251947403,1.7479442358017,-0.397155612707138
"LNEN236_TU",-1.99053859710693,-0.833765745162964,0.475197583436966
