sample_id,manuscript_id,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
LNEN081_TU,LNEN081,-2.21835502301802,-1.11979516828429,-0.516404577266768,0.0353461286821284,0.925307957784055,0.198462890478371,-0.745355193046763,-0.826456769972705,1.10280754055081,0.179481531945563
LNEN082_TU,LNEN082,2.49144026183591,-0.891079834601341,1.87408702620869,-0.611145847122219,-0.0358437580266823,-0.952599793048123,-0.175914884508345,-0.28537609527388,0.307207827668225,0.666903508740511
LNEN083_TU,LNEN083,3.41452302646415,-0.823554670177798,1.70201159442872,-0.346832037196206,0.0763133471778482,-0.897325211028406,-0.877881396280175,0.183443577758406,0.0294229128429737,0.667637094904413
LNEN084_TU,LNEN084,1.57209530237139,-0.643525876891083,1.16209199379168,-1.36382883248419,-2.17730608871758,-0.965489880724006,0.511127262468284,0.443137107886866,0.0414324221355129,0.606555991511328
LNEN085_TU,LNEN085,-1.21889566448042,-1.28799498038163,-0.423569376907079,0.497621796671317,0.397731589631181,1.14528801414143,-0.914308213723122,0.776184540801554,-1.7620786186268,1.3273283990846
LNEN086_TU,LNEN086,-0.0315978729981117,2.14388795922083,-0.246581330277653,0.802516697993188,0.633788163795633,0.752592781998248,-1.59111422963055,0.346719092295266,0.011969387853176,0.338782743961325
LNEN087_TU,LNEN087,3.10359186630802,-1.01590559204264,-0.709334623118313,0.5264080964665,0.475632404569484,-0.0321426575914274,0.210660738189714,-0.282049007532242,0.0136276759155448,-0.290041812506758
LNEN089_TU,LNEN089,1.01458131257078,-1.23877153166947,-2.55771264926488,0.761026292927502,0.20634327398171,2.34668605413884,1.61578849032094,-0.179224405156707,-0.55081851904356,2.31574040310799
LNEN090_TU,LNEN090,3.27892549444282,-0.958586974250411,2.90570584240234,0.4006356163879,0.819429680709574,-0.511566963837763,-0.849915913986881,-0.0575864461921487,-0.0351549219376443,0.0148940861009399
LNEN091_TU,LNEN091,-1.83734847962358,-1.17351437091679,0.00984297569565822,-0.783617728640962,-1.10731228534706,-0.900671669359697,0.209917014709487,0.956949121500205,-1.40291200598273,-0.342533173891202
LNEN092_TU2,LNEN092,-2.45101256183426,-1.39710819012231,1.54053845255239,0.191649115099071,1.05327132332791,1.62931129098454,-0.456641742056614,-0.978057484482699,1.0527060144093,-1.81815436442363
LNEN093_TU2,LNEN093,-1.7506409831602,-1.02723458842836,0.857060544570384,-0.412559193390496,0.0690879955117069,0.605366179709857,1.1280683788668,-0.653650403000092,0.758479859669754,-1.06169835987556
LNEN094_TU5,LNEN094,3.14980803958275,-0.895995110424223,2.71834437119942,0.189785039364241,-0.0265243593016775,0.521749204534762,-1.13468966245848,-0.596774180257416,-0.0769598664342903,0.907320828309565
LNEN095_TU2,LNEN095,3.4881347946227,-0.986774809160998,2.16941082257455,0.126073001427248,1.02972268225171,0.62170408032807,-0.959837515908971,-0.710924530256332,0.044632849688192,0.824082819640981
LNEN096_TU3,LNEN096,0.231641683509283,2.18021680367594,-0.284570079864699,0.455698789448142,0.733619951577877,1.18181012761531,-1.73773011921738,-0.803778554611396,0.0775206117740211,0.33921085686588
LNEN097_TU5,LNEN097,-2.26814203404394,-0.75874916360493,-0.421184385747934,0.736110806022699,1.10866646456643,-0.296790422913686,-0.712484713176124,-1.03571567040654,2.83722703256839,0.839590515778183
LNEN098_TU1,LNEN098,-0.0275420737219978,2.33875811771433,-0.449488118232925,0.717673557133731,0.797888175043535,-0.388330586938889,0.0404391672612668,-1.43986118166356,0.126083711747447,-0.0824897979084267
LNEN099_TU2,LNEN099,-1.30800331510131,-1.48745864369789,1.23358203917234,0.329047410228887,-0.388315453675797,1.73783861313935,1.59610532814816,-0.468161429093468,0.287372833563246,-1.32656060327893
LNEN100_TU1,LNEN100,-2.5367573560837,-1.23944505045581,0.215175666438107,-0.195810642020864,0.083710340392153,-0.582883013090437,-0.674175905336104,-0.741610332574931,-1.57030561058112,-0.2949343504611
LNEN101_TU1,LNEN101,-0.585057635124029,2.05489910682703,-0.60778390792443,6.97231344905776,-0.41585848880997,-1.32227143108852,-0.47574551155913,1.10868322464628,2.12642872934795,-0.424695152647201
LNEN102_TU1,LNEN102,0.0556616135363933,1.57468861116121,0.591152933710448,0.149748443921035,-0.00232247517190488,-0.450205262648081,1.38860891576716,-0.349425699915088,0.0890332007745581,0.353678001982257
LNEN103_TU2,LNEN103,-2.13438660044761,-1.11091535321064,0.303357760595652,-0.376862167251682,0.295308203229519,-0.276499304404738,-0.0218199402223407,-0.61872174772749,-0.064191136909582,-0.481760281851407
LNEN104_TU3,LNEN104,-1.92701234785411,-1.06417215048168,-0.558517681886429,0.235528648769714,-0.687228296530027,-1.53435023701801,-0.631714624854951,0.251246242177556,-2.06137995693774,0.177740718463213
LNEN105_TU1,LNEN105,-1.75593961025653,-0.960435225732265,0.0397578739535809,-0.453441405877636,-0.455610718078347,-0.57728876286051,0.702723984270108,0.888707067575451,0.290530226230473,0.0117243496000238
