sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNEN112_TU1	0.0948464624235206	0.0835950739246457	0.0243710788811377	0.797187384770696	Ca A2
LNEN113_TU2	0.202186389936121	0.421152567857397	0.0141784383579708	0.36248260384851	Ca A1
LNEN114_TU2	0.232523622184112	0.0560780032178048	0	0.711398374598083	Ca A2
LNEN115_TU1	0.115424123167312	0	0.0180468487693252	0.866529028063363	Ca A2
LNEN116_TU1	0.128716976642892	0	0.871283023357108	0	Ca B
LNEN117_TU1	0.0904953077417832	0.626723179626951	0.0329625243110833	0.249818988320183	Ca A1
LNEN118_TU2	0.0725079377738675	0.0705641657681206	0.0690585628770483	0.787869333580964	Ca A2
LNEN119_TU3	0	0.107417460461202	0.780499067536501	0.112083472002297	Ca B
LNEN121_TU	0.16475681346491	0	0.0197771537695004	0.81546603276559	Ca A2
LNEN122_TU	0.186942906946586	0.042629984918081	0.601295130177883	0.16913197795745	Ca B
LNEN123_TU	0.263827868241028	0.575300883847138	0	0.160871247911833	Ca A1
LNEN125_TU	0.0598074758506208	0.0395610711968312	0.798008495014463	0.102622957938085	Ca B
LNEN126_TU	0	0.0825651526545737	0.917434847345426	0	Ca B
LNEN127_TU	0	0.0161998387591489	0.000594493842947045	0.983205667397904	Ca A2
LNEN128_TU	0.0972608702433536	0.0560046350897297	0.0243485434386554	0.822385951228261	Ca A2
LNEN129_TU	0.139967668766436	0.0436925161058084	0	0.816339815127756	Ca A2
LNEN130_TU	0	0.098018526925066	0.90105530324788	0.00092616982705451	Ca B
LNEN131_TU	0.104554570234627	0.0887171830459018	0.767126462900996	0.0396017838184747	Ca B
LNEN132_TU	0.112519416576633	0.0507024762832863	0.758059949339208	0.078718157800873	Ca B
LNEN133_TU	0.150307043845031	0	0.849692956154969	0	Ca B
LNEN134_TU	0.339195655802172	0.443428740400699	0.155181207972217	0.0621943958249119	Ca A1
LNEN135_TU	0.109506841494751	0.786049724168147	0.04965654903892	0.0547868852981814	Ca A1
LNEN136_TU	0.00106228513531997	0.856125971769333	0.00859970373178386	0.134212039363563	Ca A1
LNEN137_TU	0.133489798629391	0.0580508845805115	0.0398842687187135	0.768575048071384	Ca A2
LNEN139_TU	0.102043741846669	0.776025607012486	0.0912524485736679	0.0306782025671772	Ca A1
LNEN140_TU	0.12590793398062	0.827600907487924	0.0231944811063293	0.023296677425127	Ca A1
LNEN142_TU	0.046598504922221	0.0483938878256139	0.900607022663823	0.00440058458834198	Ca B
LNEN143_TU	0.0401479851660637	0.806836581258976	0.056880363354052	0.0961350702209087	Ca A1
