"Sample","Cell division","Tumor-immune-interaction","Acinar"
"MESO_055_T",0.268250725082808,0.574713200372035,0.157036074545157
"MESO_056_T2",0.342087804757219,0.0121827441447971,0.645729451097984
"MESO_057_T2",0.307872502927984,0,0.692127497072016
"MESO_058_T2",0.122745255896453,0.58208246444377,0.295172279659776
"MESO_059_T1",0,0.490627849017229,0.509372150982771
"MESO_060_T",0,0,1
"MESO_061_T",0.0270328481559786,0.972967151844021,0
"MESO_062_T2",0,0.469547418230863,0.530452581769137
"MESO_063_T",0.0604865743840626,0.473622743237382,0.465890682378556
"MESO_064_T",0.446514792588179,0.0363706426010157,0.517114564810805
"MESO_065_T",0.00584504191619617,0.361403538073922,0.632751420009882
"MESO_066_T",0.172863273846724,0.451997469946806,0.37513925620647
"MESO_067_T",0.213023479831833,0.293260619709906,0.493715900458262
"MESO_068_T",0.0574090610420546,0.491533171697339,0.451057767260607
"MESO_069_T",0.0643479741216146,0.349701518056464,0.585950507821921
"MESO_070_T",0.222059279729271,0.6629923388927,0.114948381378029
"MESO_071_T",0.0638931273110518,0.0526846833593845,0.883422189329564
"MESO_072_T",0.648402739780757,0.0487892556780015,0.302808004541242
"MESO_073_T",0.187455411497836,0.307951965719686,0.504592622782478
"MESO_074_T",0.514071355192772,0,0.485928644807228
"MESO_075_T",0.27777706025474,0.27453501376367,0.447687925981591
"MESO_076_T",0.252317613547412,0.282850851053183,0.464831535399406
"MESO_077_T",0.42722038990808,0.0118468909166644,0.560932719175256
"MESO_078_T",0.453694197993627,0,0.546305802006373
"MESO_079_T",0,0.9251888752978,0.0748111247021998
"MESO_080_T",0.366798686548374,0.0937184488285655,0.53948286462306
"MESO_081_T",0.0564973288374065,0.471141228101554,0.472361443061039
"MESO_082_T",0.612438485218573,0.215081034786246,0.172480479995182
"MESO_083_T",0.298119339693697,0.0246865796113822,0.677194080694921
"MESO_084_T",0.0852697267143415,0.328211019053134,0.586519254232524
"MESO_085_T",0.00621176848026317,0.00288023597208631,0.990907995547651
"MESO_086_T",0,0.4689141236915,0.5310858763085
"MESO_087_T",0.177837047997116,0.306922023308735,0.51524092869415
"MESO_088_T",0.358424883305491,0.0886093682975267,0.552965748396982
"MESO_089_T",0,0.163313050660155,0.836686949339845
"MESO_090_T",0.0294009062614795,0.699508523071541,0.271090570666979
"MESO_091_T",0.384949969454744,0.168054688622113,0.446995341923143
"MESO_092_T",0.110857807291558,0,0.889142192708442
"MESO_093_T",0.227093657159895,0.335181369368393,0.437724973471711
"MESO_094_T1",0.135016571486729,0.848884952555831,0.0160984759574404
"MESO_095_T",0.39474576152835,0.360518769395235,0.244735469076415
"MESO_097_T",1,0,0
"MESO_098_T",0.832601214762883,0.167398785237118,0
"MESO_099_T",0.366494983772661,0.613354313419754,0.0201507028075853
"MESO_100_T",0.799974682801607,0.0902617872798918,0.109763529918502
"MESO_101_T",0.758899489356954,0.241100510643046,0
"MESO_102_T",0.464652797973823,0.175964759861598,0.359382442164579
"MESO_103_T",0.155543247291695,0.558755164560602,0.285701588147704
"MESO_104_T",0.73858229440039,0.168380288118637,0.0930374174809738
"MESO_105_T",0.834181528584936,0,0.165818471415064
"MESO_106_T",0.0433562626753551,0.956643737324645,0
"MESO_107_T",0.616322769910587,0.383677230089414,0
"MESO_108_T",0.756889502627731,0.243110497372269,0
"MESO_109_T",0.772673615079511,0.164583000239607,0.0627433846808815
"MESO_110_T",0.813856288615967,0.067157414201683,0.11898629718235
"MESO_111_T",0.436569340180854,0,0.563430659819147
"MESO_112_T",0.886871882799568,0.0342173017215702,0.0789108154788624
"MESO_113_T",0.575635763500613,0.399565732221734,0.0247985042776534
"MESO_114_T",0.526336128500335,0.422946986897417,0.0507168846022487
"MESO_115_T",0.249764491721321,0.188424633373528,0.561810874905151
"MESO_116_T",0.203845026552443,0.314055959065629,0.482099014381929
"MESO_117_T",0.492674380243143,0.339862379405091,0.167463240351766
"MESO_118_T",0.586384061631586,0,0.413615938368414
"MESO_119_T",0.195221027278465,0.260075431932196,0.544703540789339
"MESO_120_T",0.269879158022906,0.375383993278318,0.354736848698776
"MESO_121_T",0.324601414345859,0.154276385867447,0.521122199786694
"MESO_122_T",0.252201004329661,0.478051304238697,0.269747691431641
"MESO_123_T",0.349047849330771,0.0692960140677798,0.581656136601449
"MESO_124_T",0.267339965147999,0.41434583174927,0.318314203102731
"SRR18543964",0.5688010609377,0.00507334399075721,0.426125595071543
